date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:39:32	103/103	---MC-	302	error ('Found')	text/html	date:Fri,%2019%20Oct%202018%2016:39:30%20GMT	https://zoa-store-demo.myshopify.com/?preview_theme_id=39743193161	C:/My%20Web%20Sites/IDreamDress/zoa-store-demo.myshopify.com/index7e5b.html	(from https://zoa-store-demo.myshopify.com/)
20:39:32	118/118	---MC-	302	error ('Found')	text/html	date:Fri,%2019%20Oct%202018%2016:39:30%20GMT	https://zoa-store-demo.myshopify.com/collections/all/?preview_theme_id=35567697993	C:/My%20Web%20Sites/IDreamDress/zoa-store-demo.myshopify.com/collections/all/index329f.html	(from https://zoa-store-demo.myshopify.com/)
20:39:32	118/118	---MC-	302	error ('Found')	text/html	date:Fri,%2019%20Oct%202018%2016:39:31%20GMT	https://zoa-store-demo.myshopify.com/collections/all/?preview_theme_id=35615637577	C:/My%20Web%20Sites/IDreamDress/zoa-store-demo.myshopify.com/collections/all/index6709.html	(from https://zoa-store-demo.myshopify.com/)
20:39:33	122/122	---MC-	302	error ('Found')	text/html	date:Fri,%2019%20Oct%202018%2016:39:33%20GMT	https://zoa-store-demo.myshopify.com/products/win-shirts?preview_theme_id=35567697993	C:/My%20Web%20Sites/IDreamDress/zoa-store-demo.myshopify.com/products/win-shirts329f	(from https://zoa-store-demo.myshopify.com/)
20:39:33	122/122	---MC-	302	error ('Found')	text/html	date:Fri,%2019%20Oct%202018%2016:39:33%20GMT	https://zoa-store-demo.myshopify.com/products/win-shirts?preview_theme_id=35616882761	C:/My%20Web%20Sites/IDreamDress/zoa-store-demo.myshopify.com/products/win-shirts817f	(from https://zoa-store-demo.myshopify.com/)
20:39:34	100577/100577	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Oct%202018%2016:39:35%20GMT	https://zoa-store-demo.myshopify.com/products/mens-boxes	C:/My%20Web%20Sites/IDreamDress/zoa-store-demo.myshopify.com/products/mens-boxes.html	(from https://zoa-store-demo.myshopify.com/)
20:39:35	125432/125432	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Oct%202018%2016:39:36%20GMT	https://zoa-store-demo.myshopify.com/collections/trend/products/win-shirts	C:/My%20Web%20Sites/IDreamDress/zoa-store-demo.myshopify.com/collections/trend/products/win-shirts.html	(from https://zoa-store-demo.myshopify.com/)
20:39:36	99887/99887	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Oct%202018%2016:39:36%20GMT	https://zoa-store-demo.myshopify.com/products/snap-cap	C:/My%20Web%20Sites/IDreamDress/zoa-store-demo.myshopify.com/products/snap-cap.html	(from https://zoa-store-demo.myshopify.com/)
20:39:36	106699/106699	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Oct%202018%2016:39:37%20GMT	https://zoa-store-demo.myshopify.com/products/aenean-consequat-sagittis	C:/My%20Web%20Sites/IDreamDress/zoa-store-demo.myshopify.com/products/aenean-consequat-sagittis.html	(from https://zoa-store-demo.myshopify.com/)
20:39:37	1546/1546	---M--	429	error ('Too%20Many%20Requests')	text/html	etag:%225a09dfec-60a%22	https://zoa-store-demo.myshopify.com/collections	C:/My%20Web%20Sites/IDreamDress/zoa-store-demo.myshopify.com/collections	(from https://zoa-store-demo.myshopify.com/)
20:39:37	1546/1546	---M--	429	error ('Too%20Many%20Requests')	text/html	etag:%2257605ce9-60a%22	https://zoa-store-demo.myshopify.com/pages/about-us	C:/My%20Web%20Sites/IDreamDress/zoa-store-demo.myshopify.com/pages/about-us	(from https://zoa-store-demo.myshopify.com/)
20:39:37	1546/1546	---M--	429	error ('Too%20Many%20Requests')	text/html	etag:%2257605ce9-60a%22	https://zoa-store-demo.myshopify.com/pages/contact-us	C:/My%20Web%20Sites/IDreamDress/zoa-store-demo.myshopify.com/pages/contact-us	(from https://zoa-store-demo.myshopify.com/)
20:39:38	1546/1546	---M--	429	error ('Too%20Many%20Requests')	text/html	etag:%2257605ce9-60a%22	https://zoa-store-demo.myshopify.com/pages/not_found	C:/My%20Web%20Sites/IDreamDress/zoa-store-demo.myshopify.com/pages/not_found	(from https://zoa-store-demo.myshopify.com/)
20:39:38	1546/1546	---M--	429	error ('Too%20Many%20Requests')	text/html	etag:%225a09dfec-60a%22	https://zoa-store-demo.myshopify.com/pages/faqs/?preview_theme_id=38449872969	C:/My%20Web%20Sites/IDreamDress/zoa-store-demo.myshopify.com/pages/faqs/indexa51d.html	(from https://zoa-store-demo.myshopify.com/)
20:39:38	1546/1546	---M--	429	error ('Too%20Many%20Requests')	text/html	etag:%2257605ce9-60a%22	https://zoa-store-demo.myshopify.com/blogs/news	C:/My%20Web%20Sites/IDreamDress/zoa-store-demo.myshopify.com/blogs/news	(from https://zoa-store-demo.myshopify.com/)
